MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
7/27/2020 15:42:23,2,3.88,0,1,Poke,Left,1,0,0,nan
7/27/2020 16:29:35,2,3.87,1,1,Pellet,Left,1,0,1,Timed_out
7/27/2020 17:58:41,2,3.87,0,1,Poke,Left,1,1,1,nan
7/27/2020 18:40:42,2,3.87,0,1,Poke,Left,1,2,1,nan
7/27/2020 19:20:36,2,3.87,0,1,Poke,Left,2,2,1,nan
7/27/2020 19:20:41,2,3.86,1,1,Pellet,Left,2,2,2,3
7/27/2020 19:28:32,2,3.86,0,1,Poke,Left,3,2,2,nan
7/27/2020 19:28:36,2,3.87,1,1,Pellet,Left,3,2,3,1
7/27/2020 20:02:31,2,3.87,0,1,Poke,Left,4,2,3,nan
7/27/2020 20:02:44,2,3.86,2,1,Pellet,Left,4,2,4,9
7/27/2020 21:16:43,2,3.85,0,1,Poke,Left,5,2,4,nan
7/27/2020 21:16:46,2,3.85,1,1,Pellet,Left,5,2,5,1
7/27/2020 22:24:11,2,3.85,0,1,Poke,Left,6,2,5,nan
7/27/2020 22:24:14,2,3.85,1,1,Pellet,Left,6,2,6,1
7/27/2020 22:24:40,2,3.85,0,1,Poke,Left,7,2,6,nan
7/27/2020 22:24:43,2,3.85,1,1,Pellet,Left,7,2,7,0
7/27/2020 22:25:40,2,3.85,0,1,Poke,Left,8,2,7,nan
7/27/2020 22:25:49,2,3.85,1,1,Pellet,Left,8,2,8,7
7/27/2020 22:27:08,2,3.85,0,1,Poke,Left,9,2,8,nan
7/27/2020 22:27:12,2,3.85,1,1,Pellet,Left,9,2,9,1
7/27/2020 22:27:59,2,3.85,0,1,Poke,Left,10,2,9,nan
7/27/2020 22:28:02,2,3.85,1,1,Pellet,Left,10,2,10,1
7/27/2020 22:28:21,2,3.85,0,1,Poke,Left,11,2,10,nan
7/27/2020 22:28:24,2,3.85,1,1,Pellet,Left,11,2,11,1
7/27/2020 22:28:57,2,3.85,0,1,Poke,Left,12,2,11,nan
7/27/2020 22:29:02,2,3.85,1,1,Pellet,Left,12,2,12,3
7/27/2020 22:29:19,2,3.85,0,1,Poke,Left,13,2,12,nan
7/27/2020 22:29:31,2,3.85,2,1,Pellet,Left,13,2,13,8
7/27/2020 22:30:27,2,3.85,0,1,Poke,Left,14,2,13,nan
7/27/2020 22:30:40,2,3.85,2,1,Pellet,Left,14,2,14,9
7/27/2020 22:31:19,2,3.85,0,1,Poke,Left,15,2,14,nan
7/27/2020 22:31:23,2,3.85,1,1,Pellet,Left,15,2,15,2
7/27/2020 22:31:40,2,3.85,0,1,Poke,Left,16,2,15,nan
7/27/2020 22:31:43,2,3.85,1,1,Pellet,Left,16,2,16,1
7/27/2020 22:32:03,2,3.85,0,1,Poke,Left,17,2,16,nan
7/27/2020 22:32:06,2,3.85,1,1,Pellet,Left,17,2,17,1
7/27/2020 22:32:18,2,3.85,0,1,Poke,Left,18,2,17,nan
7/27/2020 22:32:21,2,3.85,1,1,Pellet,Left,18,2,18,1
7/27/2020 22:32:53,2,3.85,0,1,Poke,Left,19,2,18,nan
7/27/2020 22:32:56,2,3.85,1,1,Pellet,Left,19,2,19,1
7/27/2020 22:33:15,2,3.85,0,1,Poke,Left,20,2,19,nan
7/27/2020 22:33:18,2,3.85,1,1,Pellet,Left,20,2,20,1
7/27/2020 22:33:29,2,3.85,0,1,Poke,Left,21,2,20,nan
7/27/2020 22:33:33,2,3.85,1,1,Pellet,Left,21,2,21,1
7/27/2020 22:33:51,2,3.85,0,1,Poke,Left,22,2,21,nan
7/27/2020 22:33:54,2,3.85,1,1,Pellet,Left,22,2,22,0
7/27/2020 22:34:22,2,3.85,0,1,Poke,Left,23,2,22,nan
7/27/2020 22:34:24,2,3.85,1,1,Pellet,Left,23,2,23,0
7/27/2020 22:34:38,2,3.85,0,1,Poke,Left,24,2,23,nan
7/27/2020 22:34:40,2,3.85,1,1,Pellet,Left,24,2,24,0
7/27/2020 22:35:08,2,3.85,0,1,Poke,Left,25,2,24,nan
7/27/2020 22:35:11,2,3.85,1,1,Pellet,Left,25,2,25,1
7/27/2020 22:35:29,2,3.85,0,1,Poke,Left,26,2,25,nan
7/27/2020 22:35:32,2,3.85,1,1,Pellet,Left,26,2,26,1
7/27/2020 22:35:56,2,3.85,0,1,Poke,Left,27,2,26,nan
7/27/2020 22:35:59,2,3.85,1,1,Pellet,Left,27,2,27,1
7/27/2020 22:36:16,2,3.85,0,1,Poke,Left,28,2,27,nan
7/27/2020 22:36:19,2,3.85,1,1,Pellet,Left,28,2,28,1
7/27/2020 22:36:41,2,3.85,0,1,Poke,Left,29,2,28,nan
7/27/2020 22:36:44,2,3.85,1,1,Pellet,Left,29,2,29,1
7/27/2020 22:37:14,2,3.85,0,1,Poke,Left,30,2,29,nan
7/27/2020 22:37:17,2,3.85,1,1,Pellet,Left,30,2,30,1
7/27/2020 22:39:06,2,3.85,0,1,Poke,Left,31,2,30,nan
7/27/2020 22:39:10,2,3.85,1,1,Pellet,Left,31,2,31,2
7/27/2020 22:39:51,2,3.85,0,1,Poke,Left,32,2,31,nan
7/27/2020 22:39:56,2,3.85,1,1,Pellet,Left,32,2,32,2
7/27/2020 22:51:19,2,3.85,0,1,Poke,Left,33,2,32,nan
7/27/2020 22:51:22,2,3.85,1,1,Pellet,Left,33,2,33,1
7/27/2020 23:07:15,2,3.85,0,1,Poke,Left,34,2,33,nan
7/27/2020 23:07:17,2,3.85,1,1,Pellet,Left,34,2,34,0
7/27/2020 23:07:53,2,3.85,0,1,Poke,Left,35,2,34,nan
7/27/2020 23:07:56,2,3.85,1,1,Pellet,Left,35,2,35,1
7/27/2020 23:08:58,2,3.85,0,1,Poke,Left,35,3,35,nan
7/27/2020 23:09:02,2,3.85,0,1,Poke,Left,35,4,35,nan
7/27/2020 23:27:42,2,3.85,0,1,Poke,Left,36,4,35,nan
7/27/2020 23:27:45,2,3.84,1,1,Pellet,Left,36,4,36,2
7/27/2020 23:28:24,2,3.84,0,1,Poke,Left,37,4,36,nan
7/27/2020 23:28:27,2,3.84,1,1,Pellet,Left,37,4,37,1
7/27/2020 23:28:46,2,3.84,0,1,Poke,Left,38,4,37,nan
7/27/2020 23:28:49,2,3.84,1,1,Pellet,Left,38,4,38,1
7/27/2020 23:29:39,2,3.84,0,1,Poke,Left,39,4,38,nan
7/27/2020 23:29:41,2,3.84,1,1,Pellet,Left,39,4,39,1
7/27/2020 23:30:09,2,3.84,0,1,Poke,Left,40,4,39,nan
7/27/2020 23:30:12,2,3.84,1,1,Pellet,Left,40,4,40,0
7/27/2020 23:30:37,2,3.84,0,1,Poke,Left,41,4,40,nan
7/27/2020 23:30:42,2,3.84,1,1,Pellet,Left,41,4,41,3
7/27/2020 23:31:08,2,3.84,0,1,Poke,Left,42,4,41,nan
7/27/2020 23:31:29,2,3.85,2,1,Pellet,Left,42,4,42,17
7/27/2020 23:32:36,2,3.85,0,1,Poke,Left,43,4,42,nan
7/27/2020 23:32:39,2,3.85,1,1,Pellet,Left,43,4,43,1
7/27/2020 23:33:07,2,3.85,0,1,Poke,Left,44,4,43,nan
7/27/2020 23:33:23,2,3.84,2,1,Pellet,Left,44,4,44,13
7/27/2020 23:34:10,2,3.84,0,1,Poke,Left,45,4,44,nan
7/27/2020 23:34:13,2,3.84,1,1,Pellet,Left,45,4,45,1
7/27/2020 23:34:46,2,3.84,0,1,Poke,Left,46,4,45,nan
7/27/2020 23:35:05,2,3.85,1,1,Pellet,Left,46,4,46,17
7/28/2020 0:21:05,2,3.85,0,1,Poke,Left,47,4,46,nan
7/28/2020 0:21:09,2,3.84,1,1,Pellet,Left,47,4,47,1
7/28/2020 0:22:49,2,3.84,0,1,Poke,Left,48,4,47,nan
7/28/2020 0:22:52,2,3.84,1,1,Pellet,Left,48,4,48,0
7/28/2020 0:23:42,2,3.84,0,1,Poke,Left,49,4,48,nan
7/28/2020 0:23:45,2,3.84,1,1,Pellet,Left,49,4,49,1
7/28/2020 0:24:30,2,3.84,0,1,Poke,Left,50,4,49,nan
7/28/2020 0:24:33,2,3.84,1,1,Pellet,Left,50,4,50,1
7/28/2020 0:25:22,2,3.84,0,1,Poke,Left,51,4,50,nan
7/28/2020 0:25:39,2,3.84,2,1,Pellet,Left,51,4,51,14
7/28/2020 0:26:39,2,3.84,0,1,Poke,Left,52,4,51,nan
7/28/2020 0:26:56,2,3.83,2,1,Pellet,Left,52,4,52,13
7/28/2020 0:27:44,2,3.83,0,1,Poke,Left,53,4,52,nan
7/28/2020 0:28:01,2,3.84,2,1,Pellet,Left,53,4,53,13
7/28/2020 0:28:44,2,3.84,0,1,Poke,Left,54,4,53,nan
7/28/2020 0:29:10,2,3.85,2,1,Pellet,Left,54,4,54,22
7/28/2020 0:55:27,2,3.84,0,1,Poke,Left,55,4,54,nan
7/28/2020 0:55:30,2,3.84,1,1,Pellet,Left,55,4,55,1
7/28/2020 0:56:24,2,3.84,0,1,Poke,Left,55,5,55,nan
7/28/2020 0:56:25,2,3.84,0,1,Poke,Left,55,6,55,nan
7/28/2020 1:14:51,2,3.84,0,1,Poke,Left,55,7,55,nan
7/28/2020 1:14:57,2,3.84,0,1,Poke,Left,55,8,55,nan
7/28/2020 1:15:12,2,3.84,0,1,Poke,Left,55,9,55,nan
7/28/2020 1:16:01,2,3.84,0,1,Poke,Left,56,9,55,nan
7/28/2020 1:16:24,2,3.84,2,1,Pellet,Left,56,9,56,19
7/28/2020 1:17:32,2,3.84,0,1,Poke,Left,57,9,56,nan
7/28/2020 1:17:35,2,3.84,1,1,Pellet,Left,57,9,57,1
7/28/2020 1:18:15,2,3.84,0,1,Poke,Left,58,9,57,nan
7/28/2020 1:18:18,2,3.84,1,1,Pellet,Left,58,9,58,1
7/28/2020 1:18:53,2,3.84,0,1,Poke,Left,59,9,58,nan
7/28/2020 1:18:57,2,3.84,1,1,Pellet,Left,59,9,59,2
7/28/2020 1:19:34,2,3.84,0,1,Poke,Left,60,9,59,nan
7/28/2020 1:19:36,2,3.84,1,1,Pellet,Left,60,9,60,1
7/28/2020 1:20:01,2,3.84,0,1,Poke,Left,61,9,60,nan
7/28/2020 1:20:04,2,3.84,1,1,Pellet,Left,61,9,61,1
7/28/2020 1:21:08,2,3.84,0,1,Poke,Left,62,9,61,nan
7/28/2020 1:21:11,2,3.84,1,1,Pellet,Left,62,9,62,1
7/28/2020 1:35:11,2,3.84,0,1,Poke,Left,63,9,62,nan
7/28/2020 1:35:15,2,3.83,1,1,Pellet,Left,63,9,63,1
7/28/2020 1:35:45,2,3.83,0,1,Poke,Left,64,9,63,nan
7/28/2020 1:35:47,2,3.83,1,1,Pellet,Left,64,9,64,0
7/28/2020 1:36:07,2,3.83,0,1,Poke,Left,65,9,64,nan
7/28/2020 1:36:09,2,3.83,1,1,Pellet,Left,65,9,65,1
7/28/2020 1:36:38,2,3.83,0,1,Poke,Left,66,9,65,nan
7/28/2020 1:36:54,2,3.83,2,1,Pellet,Left,66,9,66,13
7/28/2020 1:37:54,2,3.83,0,1,Poke,Left,67,9,66,nan
7/28/2020 1:38:04,2,3.84,2,1,Pellet,Left,67,9,67,7
7/28/2020 1:39:32,2,3.84,0,1,Poke,Left,68,9,67,nan
7/28/2020 1:39:45,2,3.83,2,1,Pellet,Left,68,9,68,9
7/28/2020 1:42:49,2,3.83,0,1,Poke,Left,69,9,68,nan
7/28/2020 1:42:52,2,3.84,1,1,Pellet,Left,69,9,69,1
7/28/2020 2:50:52,2,3.84,0,1,Poke,Left,70,9,69,nan
7/28/2020 2:51:09,2,3.83,2,1,Pellet,Left,70,9,70,14
7/28/2020 2:52:07,2,3.83,0,1,Poke,Left,70,10,70,nan
7/28/2020 2:52:11,2,3.83,0,1,Poke,Left,70,11,70,nan
7/28/2020 2:52:13,2,3.83,0,1,Poke,Left,70,12,70,nan
7/28/2020 2:52:17,2,3.83,0,1,Poke,Left,71,12,70,nan
7/28/2020 2:52:34,2,3.83,2,1,Pellet,Left,71,12,71,13
7/28/2020 2:53:05,2,3.83,0,1,Poke,Left,72,12,71,nan
7/28/2020 2:53:08,2,3.83,1,1,Pellet,Left,72,12,72,1
7/28/2020 2:53:28,2,3.83,0,1,Poke,Left,73,12,72,nan
7/28/2020 2:53:31,2,3.83,1,1,Pellet,Left,73,12,73,0
7/28/2020 2:53:59,2,3.83,0,1,Poke,Left,74,12,73,nan
7/28/2020 2:54:01,2,3.83,1,1,Pellet,Left,74,12,74,0
7/28/2020 2:54:19,2,3.83,0,1,Poke,Left,75,12,74,nan
7/28/2020 2:54:22,2,3.83,1,1,Pellet,Left,75,12,75,1
7/28/2020 2:54:39,2,3.83,0,1,Poke,Left,76,12,75,nan
7/28/2020 2:54:42,2,3.83,1,1,Pellet,Left,76,12,76,1
7/28/2020 2:55:01,2,3.83,0,1,Poke,Left,77,12,76,nan
7/28/2020 2:55:18,2,3.83,1,1,Pellet,Left,77,12,77,14
7/28/2020 2:56:07,2,3.83,0,1,Poke,Left,78,12,77,nan
7/28/2020 2:56:12,2,3.83,2,1,Pellet,Left,78,12,78,1
7/28/2020 2:56:32,2,3.83,0,1,Poke,Left,79,12,78,nan
7/28/2020 2:56:35,2,3.83,1,1,Pellet,Left,79,12,79,1
7/28/2020 2:56:51,2,3.83,0,1,Poke,Left,80,12,79,nan
7/28/2020 2:56:53,2,3.83,1,1,Pellet,Left,80,12,80,0
7/28/2020 2:57:17,2,3.83,0,1,Poke,Left,81,12,80,nan
7/28/2020 2:57:22,2,3.83,2,1,Pellet,Left,81,12,81,1
7/28/2020 2:57:48,2,3.83,0,1,Poke,Left,82,12,81,nan
7/28/2020 2:58:03,2,3.83,2,1,Pellet,Left,82,12,82,11
7/28/2020 3:50:02,2,3.83,0,1,Poke,Left,83,12,82,nan
7/28/2020 3:50:28,2,3.82,2,1,Pellet,Left,83,12,83,22
7/28/2020 3:51:23,2,3.82,0,1,Poke,Left,84,12,83,nan
7/28/2020 3:51:46,2,3.83,2,1,Pellet,Left,84,12,84,19
7/28/2020 4:10:25,2,3.83,0,1,Poke,Left,84,13,84,nan
7/28/2020 4:18:40,2,3.83,0,1,Poke,Left,84,14,84,nan
7/28/2020 4:18:42,2,3.83,0,1,Poke,Left,84,15,84,nan
7/28/2020 4:22:15,2,3.83,0,1,Poke,Left,84,16,84,nan
7/28/2020 5:04:50,2,3.83,0,1,Poke,Left,85,16,84,nan
7/28/2020 5:04:53,2,3.83,1,1,Pellet,Left,85,16,85,1
7/28/2020 5:05:27,2,3.83,0,1,Poke,Left,86,16,85,nan
7/28/2020 5:05:32,2,3.82,2,1,Pellet,Left,86,16,86,1
7/28/2020 5:06:29,2,3.82,0,1,Poke,Left,87,16,86,nan
7/28/2020 5:06:41,2,3.82,2,1,Pellet,Left,87,16,87,8
7/28/2020 5:07:14,2,3.82,0,1,Poke,Left,88,16,87,nan
7/28/2020 5:07:29,2,3.82,2,1,Pellet,Left,88,16,88,11
7/28/2020 5:08:01,2,3.82,0,1,Poke,Left,89,16,88,nan
7/28/2020 5:08:15,2,3.82,2,1,Pellet,Left,89,16,89,9
7/28/2020 5:08:54,2,3.82,0,1,Poke,Left,90,16,89,nan
7/28/2020 5:08:57,2,3.82,1,1,Pellet,Left,90,16,90,1
7/28/2020 6:35:26,2,3.82,0,1,Poke,Left,91,16,90,nan
7/28/2020 6:35:29,2,3.82,1,1,Pellet,Left,91,16,91,1
7/28/2020 6:38:20,2,3.82,0,1,Poke,Left,92,16,91,nan
7/28/2020 6:38:23,2,3.81,1,1,Pellet,Left,92,16,92,1
7/28/2020 6:46:58,2,3.81,0,1,Poke,Left,92,17,92,nan
7/28/2020 6:50:40,2,3.81,0,1,Poke,Left,93,17,92,nan
7/28/2020 6:50:43,2,3.81,1,1,Pellet,Left,93,17,93,0
7/28/2020 6:51:27,2,3.81,0,1,Poke,Left,94,17,93,nan
7/28/2020 6:51:52,2,3.81,1,1,Pellet,Left,94,17,94,23
7/28/2020 6:52:26,2,3.81,0,1,Poke,Left,95,17,94,nan
7/28/2020 6:52:29,2,3.81,1,1,Pellet,Left,95,17,95,0
7/28/2020 6:52:51,2,3.81,0,1,Poke,Left,96,17,95,nan
7/28/2020 6:52:55,2,3.81,1,1,Pellet,Left,96,17,96,1
7/28/2020 6:53:22,2,3.81,0,1,Poke,Left,97,17,96,nan
7/28/2020 6:53:25,2,3.80,1,1,Pellet,Left,97,17,97,1
7/28/2020 8:09:54,2,3.80,0,1,Poke,Left,98,17,97,nan
7/28/2020 8:09:57,2,3.80,1,1,Pellet,Left,98,17,98,1
7/28/2020 8:10:42,2,3.80,0,1,Poke,Left,99,17,98,nan
7/28/2020 8:10:45,2,3.80,1,1,Pellet,Left,99,17,99,0
7/28/2020 8:11:11,2,3.80,0,1,Poke,Left,100,17,99,nan
7/28/2020 8:11:25,2,3.80,1,1,Pellet,Left,100,17,100,11
7/28/2020 8:12:07,2,3.80,0,1,Poke,Left,101,17,100,nan
7/28/2020 8:12:10,2,3.80,1,1,Pellet,Left,101,17,101,1
7/28/2020 8:12:53,2,3.80,0,1,Poke,Left,102,17,101,nan
7/28/2020 8:12:56,2,3.80,1,1,Pellet,Left,102,17,102,1
7/28/2020 8:13:11,2,3.80,0,1,Poke,Left,103,17,102,nan
7/28/2020 8:13:14,2,3.80,1,1,Pellet,Left,103,17,103,1
7/28/2020 8:13:47,2,3.80,0,1,Poke,Left,104,17,103,nan
7/28/2020 8:13:58,2,3.80,2,1,Pellet,Left,104,17,104,7
7/28/2020 8:14:41,2,3.80,0,1,Poke,Left,105,17,104,nan
7/28/2020 8:14:43,2,3.80,1,1,Pellet,Left,105,17,105,0
7/28/2020 8:19:55,2,3.80,0,1,Poke,Left,105,18,105,nan
7/28/2020 8:19:57,2,3.80,0,1,Poke,Left,105,19,105,nan
7/28/2020 9:50:20,2,3.80,0,1,Poke,Left,106,19,105,nan
7/28/2020 9:52:46,2,3.79,1,1,Pellet,Left,106,19,106,Timed_out
7/28/2020 9:58:22,2,3.79,0,1,Poke,Left,107,19,106,nan
7/28/2020 9:58:25,2,3.79,1,1,Pellet,Left,107,19,107,1
7/28/2020 9:58:46,2,3.79,0,1,Poke,Left,108,19,107,nan
7/28/2020 9:58:48,2,3.79,1,1,Pellet,Left,108,19,108,0
7/28/2020 10:43:02,2,3.79,0,1,Poke,Left,109,19,108,nan
7/28/2020 10:43:05,2,3.79,1,1,Pellet,Left,109,19,109,1
7/28/2020 10:43:29,2,3.79,0,1,Poke,Left,110,19,109,nan
7/28/2020 10:43:31,2,3.79,1,1,Pellet,Left,110,19,110,0
7/28/2020 10:43:54,2,3.79,0,1,Poke,Left,111,19,110,nan
7/28/2020 10:44:03,2,3.78,1,1,Pellet,Left,111,19,111,7
7/28/2020 10:44:40,2,3.78,0,1,Poke,Left,112,19,111,nan
7/28/2020 10:44:43,2,3.78,1,1,Pellet,Left,112,19,112,1
7/28/2020 10:44:53,2,3.78,0,1,Poke,Left,113,19,112,nan
7/28/2020 10:44:56,2,3.78,1,1,Pellet,Left,113,19,113,0
7/28/2020 10:45:18,2,3.78,0,1,Poke,Left,114,19,113,nan
7/28/2020 10:45:21,2,3.78,1,1,Pellet,Left,114,19,114,1
7/28/2020 10:45:43,2,3.78,0,1,Poke,Left,115,19,114,nan
7/28/2020 10:45:46,2,3.78,1,1,Pellet,Left,115,19,115,1
7/28/2020 10:46:02,2,3.78,0,1,Poke,Left,116,19,115,nan
7/28/2020 10:46:06,2,3.78,2,1,Pellet,Left,116,19,116,1
7/28/2020 10:46:57,2,3.79,0,1,Poke,Left,117,19,116,nan
7/28/2020 10:47:00,2,3.79,1,1,Pellet,Left,117,19,117,1
7/28/2020 10:47:11,2,3.79,0,1,Poke,Left,118,19,117,nan
7/28/2020 10:47:14,2,3.79,1,1,Pellet,Left,118,19,118,0
7/28/2020 10:47:43,2,3.79,0,1,Poke,Left,119,19,118,nan
7/28/2020 10:47:46,2,3.79,1,1,Pellet,Left,119,19,119,1
7/28/2020 10:48:05,2,3.79,0,1,Poke,Left,120,19,119,nan
7/28/2020 10:48:22,2,3.78,2,1,Pellet,Left,120,19,120,14
7/28/2020 10:48:53,2,3.78,0,1,Poke,Left,121,19,120,nan
7/28/2020 10:48:56,2,3.78,1,1,Pellet,Left,121,19,121,1
7/28/2020 10:49:16,2,3.78,0,1,Poke,Left,122,19,121,nan
7/28/2020 10:49:19,2,3.78,1,1,Pellet,Left,122,19,122,1
7/28/2020 13:03:50,2,3.78,0,1,Poke,Left,123,19,122,nan
7/28/2020 13:03:53,2,3.78,1,1,Pellet,Left,123,19,123,1
7/28/2020 13:04:12,2,3.78,0,1,Poke,Left,124,19,123,nan
7/28/2020 13:04:24,2,3.77,2,1,Pellet,Left,124,19,124,9
7/28/2020 13:05:10,2,3.77,0,1,Poke,Left,125,19,124,nan
7/28/2020 13:05:13,2,3.77,1,1,Pellet,Left,125,19,125,1
7/28/2020 13:05:27,2,3.77,0,1,Poke,Left,126,19,125,nan
7/28/2020 13:05:41,2,3.78,1,1,Pellet,Left,126,19,126,11
7/28/2020 13:10:45,2,3.78,0,1,Poke,Left,127,19,126,nan
7/28/2020 13:10:49,2,3.78,1,1,Pellet,Left,127,19,127,1
7/28/2020 15:15:50,2,3.78,0,1,Poke,Left,128,19,127,nan
7/28/2020 15:18:31,2,3.76,1,1,Pellet,Left,128,19,128,Timed_out
7/28/2020 15:50:19,2,3.76,0,1,Poke,Left,129,19,128,nan
7/28/2020 15:50:22,2,3.76,1,1,Pellet,Left,129,19,129,1
7/28/2020 15:50:39,2,3.76,0,1,Poke,Left,130,19,129,nan
7/28/2020 15:50:42,2,3.76,1,1,Pellet,Left,130,19,130,1
7/28/2020 15:50:59,2,3.76,0,1,Poke,Left,131,19,130,nan
7/28/2020 15:51:01,2,3.76,1,1,Pellet,Left,131,19,131,0
7/28/2020 15:51:17,2,3.76,0,1,Poke,Left,132,19,131,nan
7/28/2020 15:51:20,2,3.76,1,1,Pellet,Left,132,19,132,1
7/28/2020 15:51:44,2,3.76,0,1,Poke,Left,133,19,132,nan
7/28/2020 15:51:56,2,3.76,2,1,Pellet,Left,133,19,133,9
7/28/2020 15:52:28,2,3.76,0,1,Poke,Left,134,19,133,nan
7/28/2020 15:52:31,2,3.76,1,1,Pellet,Left,134,19,134,1
7/28/2020 15:52:49,2,3.76,0,1,Poke,Left,135,19,134,nan
7/28/2020 15:53:05,2,3.76,1,1,Pellet,Left,135,19,135,14
7/28/2020 15:53:31,2,3.76,0,1,Poke,Left,136,19,135,nan
7/28/2020 15:53:34,2,3.76,1,1,Pellet,Left,136,19,136,1
7/28/2020 15:54:07,2,3.76,0,1,Poke,Left,137,19,136,nan
7/28/2020 15:54:10,2,3.76,1,1,Pellet,Left,137,19,137,1
7/28/2020 15:54:31,2,3.76,0,1,Poke,Left,138,19,137,nan
7/28/2020 15:54:36,2,3.76,2,1,Pellet,Left,138,19,138,1
7/28/2020 17:11:12,2,3.76,0,1,Poke,Left,139,19,138,nan
7/28/2020 17:11:14,2,3.76,1,1,Pellet,Left,139,19,139,0
7/28/2020 17:11:42,2,3.76,0,1,Poke,Left,140,19,139,nan
7/28/2020 17:11:45,2,3.76,1,1,Pellet,Left,140,19,140,0
7/28/2020 17:12:13,2,3.76,0,1,Poke,Left,141,19,140,nan
7/28/2020 17:12:29,2,3.75,2,1,Pellet,Left,141,19,141,12
7/28/2020 17:12:57,2,3.75,0,1,Poke,Left,142,19,141,nan
7/28/2020 17:13:00,2,3.75,1,1,Pellet,Left,142,19,142,0
7/28/2020 17:13:19,2,3.75,0,1,Poke,Left,143,19,142,nan
7/28/2020 17:13:22,2,3.75,1,1,Pellet,Left,143,19,143,1
7/28/2020 17:13:42,2,3.75,0,1,Poke,Left,144,19,143,nan
7/28/2020 17:13:44,2,3.75,1,1,Pellet,Left,144,19,144,0
7/28/2020 17:14:05,2,3.75,0,1,Poke,Left,145,19,144,nan
7/28/2020 17:14:07,2,3.75,1,1,Pellet,Left,145,19,145,0
7/28/2020 17:14:29,2,3.75,0,1,Poke,Left,146,19,145,nan
7/28/2020 17:14:32,2,3.75,1,1,Pellet,Left,146,19,146,1
7/28/2020 17:14:46,2,3.75,0,1,Poke,Left,147,19,146,nan
7/28/2020 17:14:49,2,3.75,1,1,Pellet,Left,147,19,147,0
7/28/2020 17:15:12,2,3.75,0,1,Poke,Left,148,19,147,nan
7/28/2020 17:15:33,2,3.75,2,1,Pellet,Left,148,19,148,17
7/28/2020 17:20:28,2,3.75,0,1,Poke,Left,149,19,148,nan
7/28/2020 17:20:30,2,3.75,1,1,Pellet,Left,149,19,149,0
7/28/2020 17:20:51,2,3.75,0,1,Poke,Left,150,19,149,nan
7/28/2020 17:20:53,2,3.75,1,1,Pellet,Left,150,19,150,0
7/28/2020 17:21:07,2,3.75,0,1,Poke,Left,151,19,150,nan
7/28/2020 17:21:10,2,3.75,1,1,Pellet,Left,151,19,151,1
7/28/2020 17:21:28,2,3.75,0,1,Poke,Left,152,19,151,nan
7/28/2020 17:21:31,2,3.75,1,1,Pellet,Left,152,19,152,1
7/28/2020 18:33:01,2,3.75,0,1,Poke,Left,153,19,152,nan
7/28/2020 18:33:04,2,3.75,1,1,Pellet,Left,153,19,153,1
7/28/2020 18:33:29,2,3.75,0,1,Poke,Left,154,19,153,nan
7/28/2020 18:33:32,2,3.75,1,1,Pellet,Left,154,19,154,1
7/28/2020 18:33:53,2,3.75,0,1,Poke,Left,155,19,154,nan
7/28/2020 18:34:07,2,3.74,2,1,Pellet,Left,155,19,155,10
7/28/2020 18:34:48,2,3.74,0,1,Poke,Left,156,19,155,nan
7/28/2020 18:34:59,2,3.74,2,1,Pellet,Left,156,19,156,7
7/28/2020 19:01:41,2,3.74,0,1,Poke,Left,157,19,156,nan
7/28/2020 19:01:44,2,3.74,1,1,Pellet,Left,157,19,157,1
7/28/2020 19:02:05,2,3.74,0,1,Poke,Left,158,19,157,nan
7/28/2020 19:02:07,2,3.74,1,1,Pellet,Left,158,19,158,0
7/28/2020 19:02:25,2,3.74,0,1,Poke,Left,159,19,158,nan
7/28/2020 19:02:28,2,3.74,1,1,Pellet,Left,159,19,159,0
7/28/2020 19:09:15,2,3.74,0,1,Poke,Left,160,19,159,nan
7/28/2020 19:09:22,2,3.74,1,1,Pellet,Left,160,19,160,5
7/28/2020 19:10:48,2,3.74,0,1,Poke,Left,160,20,160,nan
7/28/2020 19:11:00,2,3.74,0,1,Poke,Left,160,21,160,nan
7/28/2020 19:20:45,2,3.74,0,1,Poke,Left,161,21,160,nan
7/28/2020 19:20:48,2,3.74,1,1,Pellet,Left,161,21,161,1
7/28/2020 19:25:50,2,3.74,0,1,Poke,Left,161,22,161,nan
7/28/2020 19:28:27,2,3.74,0,1,Poke,Left,162,22,161,nan
7/28/2020 19:28:30,2,3.74,1,1,Pellet,Left,162,22,162,0
7/28/2020 19:29:08,2,3.74,0,1,Poke,Left,163,22,162,nan
7/28/2020 19:29:11,2,3.74,1,1,Pellet,Left,163,22,163,1
7/28/2020 19:29:28,2,3.74,0,1,Poke,Left,164,22,163,nan
7/28/2020 19:29:40,2,3.74,2,1,Pellet,Left,164,22,164,9
7/28/2020 19:30:14,2,3.74,0,1,Poke,Left,165,22,164,nan
7/28/2020 19:30:34,2,3.74,2,1,Pellet,Left,165,22,165,15
7/28/2020 19:31:12,2,3.74,0,1,Poke,Left,166,22,165,nan
7/28/2020 19:31:15,2,3.74,1,1,Pellet,Left,166,22,166,1
7/28/2020 19:31:39,2,3.74,0,1,Poke,Left,167,22,166,nan
7/28/2020 19:31:42,2,3.74,1,1,Pellet,Left,167,22,167,0
