MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
4/26/2020 16:40:58,7,3.87,0,1,Poke,Left,0,1,0,nan
4/26/2020 18:25:12,7,3.87,0,1,Poke,Left,0,2,0,nan
4/26/2020 19:29:58,7,3.85,0,1,Poke,Left,1,2,0,nan
4/26/2020 19:30:04,7,3.86,1,1,Pellet,Left,1,2,1,3
4/26/2020 19:36:48,7,3.85,0,1,Poke,Left,2,2,1,nan
4/26/2020 19:36:53,7,3.86,1,1,Pellet,Left,2,2,2,1
4/26/2020 19:37:54,7,3.86,0,1,Poke,Left,3,2,2,nan
4/26/2020 19:38:07,7,3.85,1,1,Pellet,Left,3,2,3,9
4/26/2020 19:41:01,7,3.85,0,1,Poke,Left,4,2,3,nan
4/26/2020 19:41:08,7,3.86,1,1,Pellet,Left,4,2,4,4
4/26/2020 19:41:52,7,3.86,0,1,Poke,Left,4,3,4,nan
4/26/2020 19:42:19,7,3.86,0,1,Poke,Left,5,3,4,nan
4/26/2020 19:42:24,7,3.86,1,1,Pellet,Left,5,3,5,2
4/26/2020 19:50:15,7,3.86,0,1,Poke,Left,6,3,5,nan
4/26/2020 19:50:19,7,3.86,1,1,Pellet,Left,6,3,6,1
4/26/2020 19:50:56,7,3.85,0,1,Poke,Left,7,3,6,nan
4/26/2020 19:51:01,7,3.85,1,1,Pellet,Left,7,3,7,2
4/26/2020 19:51:17,7,3.85,0,1,Poke,Left,8,3,7,nan
4/26/2020 19:51:29,7,3.85,2,1,Pellet,Left,8,3,8,7
